2	simple is good	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	I 'm the Sucker	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	I love these books	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	My son was thrilled	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	The Myth Is Better	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	UltraViolet = Terrible	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	i like this cd	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	Poe Runs Wild	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	This is an absolute steal	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
2	This album is good	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	This listing is wrong	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	There is no variety	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	This CD Is Wack	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	Reagan was right	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	they sound the same	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	This product is awesome	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	This is an abomination	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	this is a bad product	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
1	Fish Fall Flat	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	Bruce Is Dead	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	We love the Kratts	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	it 's a hammer	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	It 's a GREAT movie	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
2	This band is awesome	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	the killer smells funky	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	The Product Never Arrived	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	I hate these things	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	Drill bits suspect	s[n[n[(n/n)   n]] (s\\n)]
1	They ship the wrong cable	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
2	SECOND EXTRAORDINARY READ	s[n[n[(n/n)   n]] (s\\n)]
1	this is an aweful phone	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
2	This one is Groovy	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	the movies are terrible	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	Mrs. Robinson shortened	s[n[n[(n/n)   n]] (s\\n)]
1	i got a question	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	kelly 's great	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	He loves his lamp	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	The Truth is Revealed	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	Sweet summer read	s[n[n[(n/n)   n]] (s\\n)]
1	BOOK BENT BAD	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	That s a long title	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
2	Life is exciting	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	learning becomes interesting	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	I like the size	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	This Club is great	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	I 'm No Vacuum Virgin	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
1	Reviewers are right	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	I RETURNED this book	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	This movie is amazing	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	Many came broken	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	This man is dangerous	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	this is the one	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	I Love This TV	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	This was a huge mistake	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
1	This product smells terrible	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	mariah voice perfected	s[n[n[(n/n)   n]] (s\\n)]
2	These speakers are excellent	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	The Controller is sticky	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	I loved this cookbook	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	I LOVE these socks	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	This is a great crib	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
2	Lazy boys hacks	s[n[n[(n/n)   n]] (s\\n)]
1	It 's the worst	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	The manual gets smaller	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	Narrow is nice	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	Electric Pen Sucks	s[n[n[(n/n)   n]] (s\\n)]
1	I liked the print	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	Performance Is Questionable	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	Sizing has changed	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	The ordinary become extraordinary	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	I love a good laugh	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
1	I failed my paper	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	Naruto is great	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	I Love This Item	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	I m the cheese	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	SKAGEN LADIES WATCH	s[n[n[(n/n)   n]] (s\\n)]
1	I Like The Title	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	The Boys get Even	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	Blu Ray hangs	s[n[n[(n/n)   n]] (s\\n)]
2	This is an exciting read	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
2	Ariel 's begining	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	This Is A Horrible Book	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
2	This is a Great Film	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
2	JOE WOODS ROCKS	s[n[n[(n/n)   n]] (s\\n)]
2	I love this sight	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	There 's a room	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	Thomas is tops	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	these wipes are great	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	this item is useless	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	everyone needs this book	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	Nostalgia Buffs Rejoice	s[n[n[(n/n)   n]] (s\\n)]
1	We Are the Old U2	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
1	Product fell apart	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	Carrie is awesome	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	Great weekend read	s[n[n[(n/n)   n]] (s\\n)]
2	It 's a memory card	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
1	Hose is pathetic	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	Fantastic scope covers	s[n[n[(n/n)   n]] (s\\n)]
2	Joe Never Disappoints	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	Shake is Good	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	Every one is correct	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	This Book Was AMAZING	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	Ending was DOA	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	There 's just no point	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
1	This is a lousy magnet	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
2	Good Summer Read	s[n[n[(n/n)   n]] (s\\n)]
1	first one worked	s[n[n[(n/n)   n]] (s\\n)]
2	This book is available	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	I like the moisturizer	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	It is a Choice	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	this game is phat	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	Reign is Great	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	BATTERY DOESNT LAST	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	Honeymoon is over	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	mattress is lame	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	The book was useless	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	Me Eat You Face	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	Your book is awesome	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	older is better	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	Sound is Terrible	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	IT DOES THE WORK	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	It 's a lousy read	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
